Q429;AUSENCIA-ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO GRUESO-PARTE NO ESPECIFICADA;AUSENCIA-ATRESIA Y ESTENOSIS CONGENITA DEL INTESTINO GRUESO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q42;17;A
Q430;DIVERTICULO DE MECKEL;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q431;ENFERMEDAD DE HIRSCHSPRUNG;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q432;OTROS TRASTORNOS FUNCIONALES CONGENITOS DEL COLON;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q433;MALFORMACIONES CONGENITAS DE LA FIJACION DEL INTESTINO;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q434;DUPLICACION DEL INTESTINO;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q435;ANO ECTOPICO;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q436;FISTULA CONGENITA DEL RECTO Y DEL ANO;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q437;PERSISTENCIA DE LA CLOACA;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q438;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO-ESPECIFICADAS;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q439;MALFORMACION CONGENITA DEL INTESTINO-NO ESPECIFICADA;OTRAS MALFORMACIONES CONGENITAS DEL INTESTINO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q43;17;A
Q440;AGENESIA-APLASIA E HIPOPLASIA DE LA VESICULA BILIAR;MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR-DE LOS CONDUCTOS BILIARES Y DEL HIGADO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q44;17;A
Q441;OTRAS MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR;MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR-DE LOS CONDUCTOS BILIARES Y DEL HIGADO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q44;17;A
Q442;ATRESIA DE LOS CONDUCTOS BILIARES;MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR-DE LOS CONDUCTOS BILIARES Y DEL HIGADO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q44;17;A
Q443;ESTRECHEZ Y ESTENOSIS CONGENITA DE LOS CONDUCTOS BILIARES;MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR-DE LOS CONDUCTOS BILIARES Y DEL HIGADO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q44;17;A
Q444;QUISTE DEL COLEDOCO;MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR-DE LOS CONDUCTOS BILIARES Y DEL HIGADO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q44;17;A
Q445;OTRAS MALFORMACIONES CONGENITAS DE LOS CONDUCTOS BILIARES;MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR-DE LOS CONDUCTOS BILIARES Y DEL HIGADO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q44;17;A
Q446;ENFERMEDAD QUISTICA DEL HIGADO;MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR-DE LOS CONDUCTOS BILIARES Y DEL HIGADO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q44;17;A
Q447;OTRAS MALFORMACIONES CONGENITAS DEL HIGADO;MALFORMACIONES CONGENITAS DE LA VESICULA BILIAR-DE LOS CONDUCTOS BILIARES Y DEL HIGADO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q44;17;A
Q450;AGENESIA-APLASIA E HIPOPLASIA DEL PANCREAS;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q45;17;A
Q451;PANCREAS ANULAR;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q45;17;A
Q452;QUISTE CONGENITO DEL PANCREAS;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q45;17;A
Q453;OTRAS MALFORMACIONES CONGENITAS DEL PANCREAS Y DEL CONDUCTO PANCREATICO;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q45;17;A
Q458;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO-ESPECIFICADAS;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q45;17;A
Q459;MALFORMACION CONGENITA DEL SISTEMA DIGESTIVO-NO ESPECIFICADA;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA DIGESTIVO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q45;17;A
Q560;HERMAFRODITISMO-NO CLASIFICADO EN OTRA PARTE;SEXO INDETERMINADO Y SEUDOHERMAFRODITISMO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q56;17;A
Q561;SEUDOHERMAFRODITISMO MASCULINO-NO CLASIFICADO EN OTRA PARTE;SEXO INDETERMINADO Y SEUDOHERMAFRODITISMO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q56;17;A
Q562;SEUDOHERMAFRODITISMO FEMENINO-NO CLASIFICADO EN OTRA PARTE;SEXO INDETERMINADO Y SEUDOHERMAFRODITISMO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q56;17;A
Q563;SEUDOHERMAFRODITISMO-NO ESPECIFICADO;SEXO INDETERMINADO Y SEUDOHERMAFRODITISMO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q56;17;A
Q564;SEXO INDETERMINADO-SIN OTRA ESPECIFICACION;SEXO INDETERMINADO Y SEUDOHERMAFRODITISMO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q56;17;A
Q600;AGENESIA RENAL-UNILATERAL;AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q60;17;A
Q601;AGENESIA RENAL-BILATERAL;AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q60;17;A
Q602;AGENESIA RENAL-SIN OTRA ESPECIFICACION;AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q60;17;A
Q603;HIPOPLASIA RENAL-UNILATERAL;AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q60;17;A
Q604;HIPOPLASIA RENAL-BILATERAL;AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q60;17;A
Q605;HIPOPLASIA RENAL-NO ESPECIFICADA;AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q60;17;A
Q606;SINDROME DE POTTER;AGENESIA RENAL Y OTRAS MALFORMACIONES HIPOPLASICAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q60;17;A
Q610;QUISTE RENAL SOLITARIO CONGENITO;ENFERMEDAD QUISTICA DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q61;17;A
Q611;RINON POLIQUISTICO-AUTOSOMICO RECESIVO;ENFERMEDAD QUISTICA DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q61;17;A
Q612;RINON POLIQUISTICO-AUTOSOMICO DOMINANTE;ENFERMEDAD QUISTICA DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q61;17;A
Q613;RINON POLIQUISTICO-TIPO NO ESPECIFICADO;ENFERMEDAD QUISTICA DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q61;17;A
Q614;DISPLASIA RENAL;ENFERMEDAD QUISTICA DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q61;17;A
Q615;RINON QUISTICO MEDULAR;ENFERMEDAD QUISTICA DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q61;17;A
Q618;OTRAS ENFERMEDADES RENALES QUISTICAS;ENFERMEDAD QUISTICA DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q61;17;A
Q619;ENFERMEDAD QUISTICA DEL RINON-NO ESPECIFICADA;ENFERMEDAD QUISTICA DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q61;17;A
Q620;HIDRONEFROSIS CONGENITA;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q62;17;A
Q621;ATRESIA Y ESTENOSIS DEL URETER;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q62;17;A
Q622;MEGALOURETER CONGENITO;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q62;17;A
Q623;OTROS DEFECTOS OBSTRUCTIVOS DE LA PELVIS RENAL Y DEL URETER;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q62;17;A
Q624;AGENESIA DEL URETER;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q62;17;A
Q625;DUPLICACION DEL URETER;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q62;17;A
Q626;MALA POSICION DEL URETER;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q62;17;A
Q627;REFLUJO VESICO-URETERO-RENAL CONGENITO;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q62;17;A
Q628;OTRAS MALFORMACIONES CONGENITAS DEL URETER;DEFECTOS OBSTRUCTIVOS CONGENITOS DE LA PELVIS RENAL Y MALFORMACIONES CONGENITAS DEL URETER;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q62;17;A
Q630;RINON SUPERNUMERARIO;OTRAS MALFORMACIONES CONGENITAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q63;17;A
Q631;RINON LOBULADO-FUSIONADO Y EN HERRADURA;OTRAS MALFORMACIONES CONGENITAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q63;17;A
Q632;RINON ECTOPICO;OTRAS MALFORMACIONES CONGENITAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q63;17;A
Q633;HIPERPLASIA RENAL Y RINON GIGANTE;OTRAS MALFORMACIONES CONGENITAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q63;17;A
Q638;OTRAS MALFORMACIONES CONGENITAS DEL RINON-ESPECIFICADAS;OTRAS MALFORMACIONES CONGENITAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q63;17;A
Q639;MALFORMACION CONGENITA DEL RINON-NO ESPECIFICADA;OTRAS MALFORMACIONES CONGENITAS DEL RINON;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q63;17;A
Q640;EPISPADIAS;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q641;EXTROFIA DE LA VEJIGA URINARIA;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q642;VALVULAS URETRALES POSTERIORES CONGENITAS;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q643;OTRAS ATRESIAS Y ESTENOSIS DE LA URETRA Y DEL CUELLO DE LA VEJIGA;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q644;MALFORMACION DEL URACO;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q645;AUSENCIA CONGENITA DE LA VEJIGA Y DE LA URETRA;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q646;DIVERTICULO CONGENITO DE LA VEJIGA;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q647;OTRAS MALFORMACIONES CONGENITAS DE LA VEJIGA Y DE LA URETRA;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q648;OTRAS MALFORMACIONES CONGENITAS DEL APARATO URINARIO-ESPECIFICADAS;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q649;MALFORMACION CONGENITA DEL APARATO URINARIO-NO ESPECIFICADA;OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA URINARIO;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q64;17;A
Q650;LUXACION CONGENITA DE LA CADERA-UNILATERAL;DEFORMIDADES CONGENITAS DE LA CADERA;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q65;17;A
Q651;LUXACION CONGENITA DE LA CADERA-BILATERAL;DEFORMIDADES CONGENITAS DE LA CADERA;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q65;17;A
Q652;LUXACION CONGENITA DE LA CADERA-NO ESPECIFICADA;DEFORMIDADES CONGENITAS DE LA CADERA;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q65;17;A
Q653;SUBLUXACION CONGENITA DE LA CADERA-UNILATERAL;DEFORMIDADES CONGENITAS DE LA CADERA;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q65;17;A
Q654;SUBLUXACION CONGENITA DE LA CADERA-BILATERAL;DEFORMIDADES CONGENITAS DE LA CADERA;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q65;17;A
Q655;SUBLUXACION CONGENITA DE LA CADERA-NO ESPECIFICADA;DEFORMIDADES CONGENITAS DE LA CADERA;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q65;17;A
Q656;CADERA INESTABLE;DEFORMIDADES CONGENITAS DE LA CADERA;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q65;17;A
Q658;OTRAS DEFORMIDADES CONGENITAS DE LA CADERA;DEFORMIDADES CONGENITAS DE LA CADERA;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q65;17;A
Q659;DEFORMIDAD CONGENITA DE LA CADERA-NO ESPECIFICADA;DEFORMIDADES CONGENITAS DE LA CADERA;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q65;17;A
Q660;TALIPES EQUINOVARUS;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q661;TALIPES CALCANEOVARUS;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q662;METATARSUS VARUS;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q663;OTRAS DEFORMIDADES VARUS CONGENITAS DE LOS PIES;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q664;TALIPES CALCANEOVALGUS;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q665;PIE PLANO CONGENITO;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q666;OTRAS DEFORMIDADES VALGUS CONGENITAS DE LOS PIES;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q667;PIE CAVUS;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q668;OTRAS DEFORMIDADES CONGENITAS DE LOS PIES;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q669;DEFORMIDAD CONGENITA DE LOS PIES-NO ESPECIFICADA;DEFORMIDADES CONGENITAS DE LOS PIES;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q66;17;A
Q670;ASIMETRIA FACIAL;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA-DE LA CARA-DE LA COLUMNA VERTEBRAL Y DEL TORAX;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q67;17;A
Q671;FACIES COMPRIMIDA;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA-DE LA CARA-DE LA COLUMNA VERTEBRAL Y DEL TORAX;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q67;17;A
Q672;DOLICOCEFALIA;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA-DE LA CARA-DE LA COLUMNA VERTEBRAL Y DEL TORAX;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q67;17;A
Q673;PLAGIOCEFALIA;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA-DE LA CARA-DE LA COLUMNA VERTEBRAL Y DEL TORAX;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q67;17;A
Q674;OTRAS DEFORMIDADES CONGENITAS DEL CRANEO-DE LA CARA Y DE LA MANDIBULA;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA-DE LA CARA-DE LA COLUMNA VERTEBRAL Y DEL TORAX;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q67;17;A
Q675;DEFORMIDAD CONGENITA DE LA COLUMNA VERTEBRAL;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA-DE LA CARA-DE LA COLUMNA VERTEBRAL Y DEL TORAX;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q67;17;A
Q676;TORAX EXCAVADO;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA-DE LA CARA-DE LA COLUMNA VERTEBRAL Y DEL TORAX;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q67;17;A
Q677;TORAX EN QUILLA;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA-DE LA CARA-DE LA COLUMNA VERTEBRAL Y DEL TORAX;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q67;17;A
Q678;OTRAS DEFORMIDADES CONGENITAS DEL TORAX;DEFORMIDADES OSTEOMUSCULARES CONGENITAS DE LA CABEZA-DE LA CARA-DE LA COLUMNA VERTEBRAL Y DEL TORAX;3;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q67;17;A
